path,n_pages,n_reads,hit_rate_pct,ram_avg_us,nvme_avg_us,eff_us,fill_mb_s,p50_us,p90_us,p95_us,p99_us,p999_us
Kernel (HyperRAM.sys),1024,2000,76.8000,386.4704,1079.8304,547.3299,8.34,401.0999,725.1999,1024.3999,3362.2000,12556.1000
Userspace (core.py + NVMe),1024,2000,100.0000,1.0165,N/A,1.0165,1585.54,0.9001,1.2000,1.4000,1.9001,6.6001
