path,n_pages,n_reads,hit_rate_pct,ram_avg_us,nvme_avg_us,eff_us,fill_mb_s,p50_us,p90_us,p95_us,p99_us,p999_us
Kernel (Real NVMe),1024,2000,96.4000,315.2667,712.2486,329.5581,11.67,313.2001,409.5999,459.0999,676.4000,1342.3001
Userspace (core.py + NVMe),1024,2000,100.0000,1.9623,N/A,1.9623,1204.60,1.6000,2.4000,3.0000,6.2000,84.2002
