path,n_pages,n_reads,hit_rate_pct,ram_avg_us,nvme_avg_us,eff_us,fill_mb_s,p50_us,p90_us,p95_us,p99_us,p999_us
Kernel (HyperRAM.sys),1024,2000,84.4000,352.6945,870.0580,433.4032,9.72,360.1999,607.9001,786.9999,1558.7001,5189.7001
Userspace (core.py + NVMe),1024,2000,100.0000,2.2231,N/A,2.2231,983.04,1.7001,2.4999,2.9998,20.7000,43.8001
