path,n_pages,n_reads,hit_rate_pct,ram_avg_us,nvme_avg_us,eff_us,fill_mb_s,p50_us,p90_us,p95_us,p99_us,p999_us
Kernel (Real NVMe),2000,10000,88.8400,346.8837,830.4038,400.8445,10.38,346.4001,516.1001,679.8999,1410.4999,3268.6000
Userspace (core.py + NVMe),2000,10000,100.0000,1.6106,N/A,1.6106,1051.68,1.1001,2.2000,2.5001,5.3002,57.6000
