cache_label,cache_mb,hit_rate_pct,hit_rate_pct_std,avg_us,avg_us_std,p99_us,p99_us_std,eff_us,eff_us_std,speedup,speedup_std
1024 MB,1024,99.983,0.029,2.692,1.784,27.267,22.438,2.692,1.784,788.830,365.757
512 MB,512,99.983,0.029,1.781,1.104,8.533,11.082,1.781,1.104,759.388,416.752
256 MB,256,99.933,0.115,2.101,2.188,15.467,23.848,2.101,2.188,731.818,464.505
128 MB,128,100.000,0.000,1.785,1.635,25.133,40.761,1.785,1.635,1000.000,0.000
64 MB,64,99.950,0.087,3.320,3.599,35.967,57.630,3.320,3.599,747.843,436.748
32 MB,32,100.000,0.000,1.442,0.581,6.867,8.432,1.442,0.581,1000.000,0.000
16 MB,16,100.000,0.000,1.269,0.426,4.433,3.371,1.269,0.426,1000.000,0.000
